구,법정동,공원명,공원구분,소재지지번주소,위도,경도,공원면적,공원면적분류
구로구,온수동,갈매소공원,소공원,서울특별시 구로구 온수동 155-4,37.49669974,126.8228085,3200,9000000
구로구,온수동,온수어린이공원,어린이공원,서울특별시 구로구 온수동 73-5,37.494631,126.8177077,475,766
구로구,천왕동,천왕역소공원,소공원,서울특별시 구로구 천왕동 13-56,37.48530509,126.8400322,1712,2400
구로구,천왕동,이펜시아어린이공원,어린이공원,서울특별시 구로구 천왕동 2-5,37.483092,126.8473137,1500,2400
구로구,천왕동,연지근린공원,근린공원,서울특별시 구로구 천왕동 274-2,37.47965771,126.8379653,44478,9000000
구로구,천왕동,천왕근린공원,근린공원,서울특별시 구로구 천왕동 276,37.4764232,126.8417584,33677,9000000
구로구,천왕동,버들어린이공원,어린이공원,서울특별시 구로구 천왕동 277-14,37.48155019,126.8406417,6167,9000000
구로구,천왕동,연지소공원,소공원,서울특별시 구로구 천왕동 7-37,37.482231,126.8435127,431,766
구로구,천왕동,봉화대근린공원,근린공원,서울특별시 구로구 천왕동 산13-1,37.48469858,126.8424192,60975,9000000
구로구,천왕동,천왕근린공원(시),근린공원,서울특별시 구로구 천왕동 산25-1,37.48211491,126.832162,587860,9000000
구로구,항동,푸른수목원,근린공원,서울특별시 구로구 항동 31,37.48196844,126.8236695,100809,9000000
금천구,가산동,조마,어린이공원,서울특별시 금천구 가산동 148-11,37.47561479,126.8955477,1003,1183
금천구,가산동,무아래,어린이공원,서울특별시 금천구 가산동 234-29,37.473337,126.893278,1162,1183
금천구,가산동,골말,어린이공원,서울특별시 금천구 가산동 28-2,37.482876,126.884528,1485,2400
금천구,독산동,푸른골,어린이공원,서울특별시 금천구 독산동 1038-9,37.466546,126.903303,977,1183
금천구,독산동,무지개,어린이공원,서울특별시 금천구 독산동 1063-14,37.46282267,126.9009392,972,1183
금천구,독산동,옥계,어린이공원,서울특별시 금천구 독산동 1067-9,37.460149,126.900302,1058,1183
금천구,독산동,독산근린공원,근린공원,서울특별시 금천구 독산동 1086,37.463664,126.884123,18005,9000000
금천구,독산동,참새,어린이공원,서울특별시 금천구 독산동 1088-2,37.45695474,126.8871937,1500,2400
금천구,독산동,파랑새,어린이공원,서울특별시 금천구 독산동 1095-1,37.454889,126.888937,1500,2400
금천구,독산동,철쭉,어린이공원,서울특별시 금천구 독산동 1112,37.45288913,126.8896337,1501,2400
금천구,독산동,도하,소공원,서울특별시 금천구 독산동 1149,37.458753,126.896014,3057,9000000
금천구,독산동,금나래중앙,문화공원,서울특별시 금천구 독산동 1151,37.45822937,126.8962053,16331,9000000
금천구,독산동,독산,문화공원,서울특별시 금천구 독산동 1160-2,37.46391729,126.8926889,1011,1183
금천구,독산동,남문,어린이공원,서울특별시 금천구 독산동 160-6,37.472321,126.900396,883,1183
금천구,독산동,쌈지,어린이공원,서울특별시 금천구 독산동 189-1,37.470894,126.904015,982,1183
금천구,독산동,소망,어린이공원,서울특별시 금천구 독산동 196-8,37.46936829,126.9016706,998,1183
금천구,독산동,두산,어린이공원,서울특별시 금천구 독산동 298-1,37.47303262,126.8942618,974,1183
금천구,독산동,감로천생태공원,근린공원,서울특별시 금천구 독산동 373,37.46964774,126.9079262,15000,9000000
