구,법정동,상세업무구분명,사업장명,위도,경도
양천구,신정동,펫호텔,강아지분양 멍블랑 애견샵 목동점,37.52552218,126.8556222
노원구,중계동,애견미용,강아지사랑,37.65677511,127.0716339
강서구,염창동,애견미용,강아지정류장,37.54993683,126.8719539
강남구,삼성동,애견미용,강아지집,37.51431185,127.0465407
성북구,동선동,애견미용,강아지카페 카페개네,37.59120456,127.0168103
도봉구,창동,펫호텔,강아지풀,37.63857872,127.0373551
서대문구,남가좌,동물병원,강앤정 동물병원,37.57225796,126.9149472
서대문구,남가좌,애견미용,강앤정동물병원,37.57225796,126.9149472
송파구,방이동,애견미용,강이랑아지랑,37.50708837,127.1190678
양천구,목동,동물병원,강현림 종합동물병원,37.54407183,126.8595554
노원구,상계동,애견미용,개과천선,37.65489603,127.0667091
성동구,행당동,애견미용,개깎쟁이,37.56130783,127.0299311
성북구,삼선동,애견미용,개끌림,37.5858753,127.0079617
중랑구,면목동,애견미용,개날라리,37.58989659,127.084078
강서구,화곡동,애견미용,개네집,37.53600396,126.8440654
용산구,원효로,애견미용,개님살롱,37.54020992,126.9672064
송파구,석촌동,애견미용,개님살롱 레이크사이드,37.50608838,127.0960833
송파구,석촌동,펫호텔,개님살롱레이크사이드,37.50608838,127.0960833
노원구,상계동,펫호텔,개다방,37.65763632,127.0610853
서초구,반포동,애견미용,개똥이네,37.50608175,127.018174
관악구,봉천동,애견미용,개라다이스,37.48768202,126.9297526
서초구,서초동,애견미용,개랑놀아주는남자,37.50346038,127.0197437
강남구,삼성동,펫호텔,개러리아,37.51446262,127.0400112
송파구,오금동,애견미용,개러리아 송파점,37.50434911,127.1360927
구로구,개봉동,동물병원,개명동물병원,37.49018587,126.8534119
강동구,길동,애견미용,개목욕탕,37.53438748,127.13797
중랑구,면목동,애견미용,개발소,37.58292101,127.0834913
구로구,고척동,동물병원,개봉동물병원,37.50344905,126.8482314
은평구,갈현동,애견미용,개빡빡펫샵,37.62165035,126.9136582
송파구,가락동,애견미용,개성있냥,37.49317056,127.1286095
강남구,삼성동,애견미용,개스타일,37.51215001,127.0413136
도봉구,창동,애견미용,개신남3호점,37.6500631,127.0413111
서초구,반포동,애견미용,개아범,37.50524353,126.9861917
강서구,가양동,펫택시,개아범콜,37.56521626,126.8527776
관악구,신림동,애견미용,개엄마,37.4855243,126.9077195
은평구,대조동,애견미용,개와냥이 동물병원,37.61020623,126.9263265
은평구,대조동,동물병원,개와냥이동물병원,37.61020623,126.9263265
노원구,상계동,애견미용,개와커피가썸타는날(개썸커피),37.67484729,127.0586393
강북구,수유동,애견미용,개의온도,37.63292772,127.0172298
강동구,암사동,애견미용,개이쁘다,37.55180837,127.1326174
은평구,구산동,애견미용,개이쁜냥,37.60931924,126.9078367
서초구,반포동,애견미용,개이쁨미용실,37.4979726,126.989376
은평구,응암동,애견미용,개인의 취향,37.59152193,126.9148634
강서구,화곡동,애견미용,개인의취향,37.53191868,126.8460084
영등포구,신길동,펫호텔,개좋은날,37.50846299,126.9200795
강동구,길동,애견미용,개코네,37.54280933,127.1416028
은평구,응암동,애견미용,개털깎개,37.59938872,126.933573
도봉구,쌍문동,애견미용,개편한 세상,37.65907531,127.0112734
금천구,시흥동,애견미용,개편한카페,37.45039905,126.9073789
강남구,개포동,동물병원,개포동물병원,37.48927175,127.0659275
강남구,개포동,동물병원,개포별빛동물병원,37.47644343,127.0434286
광진구,화양동,동물병원,건국대학교 부속 동물병원,37.54254117,127.0708351
마포구,서교동,펫카페,겨울이 머무는 집,37.54995375,126.9189482
마포구,대흥동,애견미용,견살롱,37.55430419,126.9422274
동대문구,장안동,펫호텔,견우,37.5715535,127.0687061
영등포구,영등포,동물병원,경인동물의료센터,37.51568523,126.9025234
종로구,홍파동,동물병원,경희궁 바른 동물병원,37.57131661,126.9606692
종로구,홍파동,애견미용,경희궁바른동물병원,37.57131661,126.9606692
강서구,등촌동,애견미용,곁에 있을개,37.5545223,126.8587132
강남구,논현동,펫택시,고고댕댕,37.51000611,127.0253412
강동구,성내동,애견미용,고고펫,37.53098055,127.127195
도봉구,쌍문동,애견미용,고놈들,37.6436388,127.0276877
강동구,고덕동,동물병원,고덕 고래힐동물병원,37.55894942,127.1441925
강동구,고덕동,동물병원,고덕 동물의료센터,37.557693,127.1671944
강동구,명일동,동물병원,고덕24시 동물병원,37.55198019,127.1529145
강서구,화곡동,동물병원,고득영동물병원,37.53143499,126.8521602
강동구,고덕동,애견미용,고래힐 동물병원,37.5589249,127.1456288
노원구,상계동,동물병원,고려동물병원,37.66341968,127.0733611
강남구,도곡동,동물병원,고려종합동물병원,37.49534083,127.049762
은평구,역촌동,애견미용,고마워 MIN,37.60241574,126.9099791
성동구,마장동,애견미용,"고양아, 안녕?",37.56271512,127.0386186
양천구,신정동,애견미용,고양이 미용실,37.52526961,126.8565746
서대문구,창천동,펫카페,고양이다락방,37.55797845,126.9337952
마포구,망원동,펫카페,고양이당,37.55698884,126.905282
강남구,역삼동,펫카페,고양이라 좋은 날,37.50087603,127.0257823
금천구,독산동,애견미용,고양이무마취미용 고무미,37.47723456,126.9075286
양천구,목동,애견미용,고양이미용실,37.53558474,126.8627245
강서구,마곡동,펫카페,고양이별 캣 카페,37.56064298,126.8357559
관악구,봉천동,펫택시,고양이호텔 냥이아지트,37.4868504,126.9316426
은평구,불광동,애견미용,고인걸애견미용샾,37.61451384,126.9293568
구로구,고척동,펫호텔,고척 원 동물의료센터,37.49807149,126.861328
구로구,고척동,동물병원,고척원동물의료센터,37.49807149,126.861328
강서구,가양동,펫택시,고펫,37.56355296,126.8517098
노원구,공릉동,펫호텔,골드퍼피 애견유치원,37.62063622,127.0720355
노원구,공릉동,동물병원,골드퍼피동물병원 공릉점,37.62063622,127.0720355
강남구,논현동,애견미용,곰스살롱,37.50952942,127.0226051
강서구,마곡동,동물병원,공감동물병원,37.56011367,126.8270825
마포구,공덕동,동물병원,공덕 건강한 동물병원,37.54455963,126.9497849
양천구,신정동,동물병원,공원옆동물병원,37.5174942,126.8626076
강서구,방화동,동물병원,공항축산,37.56362754,126.8048151
관악구,봉천동,동물병원,관악동물종합병원,37.48015462,126.9536139
강동구,암사동,애견미용,광나루,37.55227613,127.1257128
광진구,구의동,애견미용,광진 pet,37.54523836,127.0828547
광진구,구의동,애견미용,광진24시 필동물병원,37.53862747,127.092984
광진구,구의동,동물병원,광진24시필동물병원,37.53862747,127.092984
광진구,구의동,동물병원,광진동물의료센터,37.54524385,127.0830667
종로구,통인동,동물병원,광화문동물병원,37.57904254,126.9682734
서초구,서초동,애견미용,교대동물병원,37.49495433,127.0141545
노원구,공릉동,애견미용,구구네미용실,37.62840958,127.0663631
구로구,신도림,동물병원,구로다나은동물병원,37.50617618,126.8742515
구로구,신도림,동물병원,구로종합동물병원,37.50700505,126.8836076
양천구,신정동,동물병원,구름동물병원,37.51289872,126.8296609
마포구,서교동,펫호텔,구름뜬하늘,37.55413508,126.9241741
은평구,진관동,펫호텔,국립공원 특산품 판매점,37.65547141,126.945298
마포구,서교동,펫호텔,굿독,37.55589018,126.9245186
마포구,염리동,동물병원,굿모닝 동물병원,37.5446997,126.9431543
